ROW   COL   Start  Frac1   botm1   botm2   botm3
94    218   38     0.3565  1941    1641    537
94    219   38     0.2377  1982    1682    1126
94    220   38     0.1188  2041    1741    1399
94    221   38     0.0000  2119    1819    369
95    221   39     0.8750  2191    1891    347
96    221   39     0.7500  2061    1961    256
97    221   39     0.6250  2042    1942    102
98    221   39     0.5000  2064    1964    158
99    221   39     0.3750  2065    1965    285
100   221   39     0.2500  2036    1936    255
101   221   39     0.1250  2035    1935    199
102   221   39     0.0000  2049    1949    159
102   220   40     0.9007  2025    1925    402
102   219   40     0.8014  1945    1645    646
102   218   40     0.7021  1901    1801    1306
103   217   40     0.5617  1871    1771    1559
104   216   40     0.4213  1815    1715    1615
105   215   40     0.2808  1771    1671    1571
106   214   40     0.1404  1730    1630    -492
107   213   40     0.0000  1667    1567    -717
         
